,country,year,annual_co2_emmissions,health_spend_per_capita,life_expectancy,ozone_depleting_emissions,min_daily_ozone,mean_daily_ozone,population,pollution_deaths,PM2.5_ug_m3
0,Abkhazia,1990,2.603238,,49.856,75.09,111.0,124.2,12412000.0,4383.83,
1,Afghanistan,1991,2.427366,,50.627,68.67,94.0,119.0,13299000.0,4426.36,60.9366899697247
2,Afghanistan,1992,1.379462,,51.331,66.03,105.0,114.3,14486000.0,4568.91,56.1366281955921
3,Afghanistan,1993,1.333055,,51.968,58.9,104.0,112.6,15817000.0,5080.29,56.0920276862492
4,Afghanistan,1994,1.281602,,52.539,37.77,73.0,92.3,17076000.0,5499.23,43.2340322030349
5,Afghanistan,1995,1.230463,,53.055,31.27,,,18111000.0,5641.29,46.5368091435579
6,Afghanistan,1996,1.16492,,53.533,22.5,103.0,108.8,18853000.0,5739.07,50.4839603472515
7,Afghanistan,1997,1.084127,,53.997,20.73,99.0,108.8,19357000.0,5828.94,50.6539453617603
8,Afghanistan,1998,1.029157,,54.468,25.97,86.0,98.8,19738000.0,5751.54,50.968831121497
9,Afghanistan,1999,0.809512,,54.959,22.1,97.0,102.9,20171000.0,5756.43,49.0360908734167
10,Afghanistan,2000,0.757672,,55.482,20.21,89.0,98.7,20780000.0,5587.68,62.0802341527162
11,Afghanistan,2001,0.797962,,56.044,15.97,91.0,100.9,21607000.0,5569.97,62.8548565825039
12,Afghanistan,2002,1.051609,75.98351391,56.637,12.5,131.0,157.4,22601000.0,5580.75,
13,Afghanistan,2003,1.185951,89.44017773,57.25,13.1,91.0,108.7,23681000.0,6111.07,17.7960061376657
14,Afghanistan,2004,0.889167,87.52090345,57.875,9.71,102.0,123.5,24727000.0,6159.58,15.0726038392926
15,Afghanistan,2005,1.303267,88.32306226,58.5,7.12,103.0,113.8,25654000.0,6189.71,14.3208450870944
16,Afghanistan,2006,1.635378,86.85601592,59.11,6.64,84.0,98.4,26433000.0,6202.75,12.1558143148977
