,country,year,annual_co2_emmissions,health_spend_per_capita,life_expectancy,ozone_depleting_emissions,min_daily_ozone,mean_daily_ozone,population,pollution_deaths
0,Abkhazia,1990,2.603238,,49.856,75.09,111.0,124.2,12412000.0,4383.83
1,Afghanistan,1991,2.427366,,50.627,68.67,94.0,119.0,13299000.0,4426.36
2,Afghanistan,1992,1.3794620000000000,,51.331,66.03,105.0,114.3,14486000.0,4568.91
3,Afghanistan,1993,1.333055,,51.968,58.9,104.0,112.6,15817000.0,5080.29
4,Afghanistan,1994,1.281602,,52.539,37.77,73.0,92.3,17076000.0,5499.23
5,Afghanistan,1995,1.230463,,53.055,31.27,,,18111000.0,5641.29
6,Afghanistan,1996,1.1649200000000000,,53.533,22.5,103.0,108.8,18853000.0,5739.07
7,Afghanistan,1997,1.084127,,53.997,20.73,99.0,108.8,19357000.0,5828.94
8,Afghanistan,1998,1.029157,,54.468,25.97,86.0,98.8,19738000.0,5751.54
9,Afghanistan,1999,0.809512,,54.959,22.1,97.0,102.9,20171000.0,5756.43
10,Afghanistan,2000,0.757672,,55.482,20.21,89.0,98.7,20780000.0,5587.68
11,Afghanistan,2001,0.797962,,56.044,15.97,91.0,100.9,21607000.0,5569.97
12,Afghanistan,2002,1.051609,75.98351391,56.637,12.5,131.0,157.4,22601000.0,5580.75
13,Afghanistan,2003,1.185951,89.44017773,57.25,13.1,91.0,108.7,23681000.0,6111.07
14,Afghanistan,2004,0.889167,87.52090345,57.875,9.71,102.0,123.5,24727000.0,6159.58
15,Afghanistan,2005,1.303267,88.32306226,58.5,7.12,103.0,113.8,25654000.0,6189.71
16,Afghanistan,2006,1.635378,86.85601592,59.11,6.64,84.0,98.4,26433000.0,6202.75
17,Afghanistan,2007,2.268605,88.71198979,59.694,4.73,108.0,116.2,27101000.0,6204.82
18,Afghanistan,2008,4.19953,111.46310638,60.243,3.36,101.0,114.0,27722000.0,6123.82
19,Afghanistan,2009,6.739976,148.00120214,60.754,3.78,97.0,107.9,28395000.0,6112.64
20,Afghanistan,2010,8.397779,153.44620572,61.226000000000000,3.36,119.0,128.5,29186000.0,6154.12
21,Afghanistan,2011,12.105788,141.0557326,61.666,3.08,95.0,106.5,30117000.0,6425.95
22,Afghanistan,2012,10.218514,160.36802664,62.086000000000000,3.37,124.0,139.3,31161000.0,6475.42
23,Afghanistan,2013,8.440766,156.52934858,62.494,2.24,116.0,132.7,32270000.0,6438.87
24,Afghanistan,2014,7.77434,166.51672658,62.895,2.37,114.0,128.6,33371000.0,6414.25
25,Afghanistan,2015,7.904133,,63.288,1.77,101.0,117.2,34414000.0,6780.26
26,Afghanistan,2016,6.744628,,63.673,1.64,114.0,123.2,35383000.0,6562.98
27,Afghanistan,2017,6.859825,,,,131.0,141.8,36296000.0,6872.06
28,Afghanistan,1990,5.444704,,71.836,75.09,111.0,124.2,3286000.0,626.95
29,Afghanistan,1991,4.228256,,71.803,68.67,94.0,119.0,3280000.0,654.88
30,Afghanistan,1992,2.495184,,71.80200000000000,66.03,105.0,114.3,3246000.0,634.39
31,Afghanistan,1993,2.315648,,71.86,58.9,104.0,112.6,3195000.0,609.17
32,Afghanistan,1994,1.912608,,71.992,37.77,73.0,92.3,3147000.0,581.23
33,Afghanistan,1995,2.066496,196.53778549,72.205,31.27,,,3113000.0,580.21
34,Afghanistan,1996,1.993216,247.13767322,72.495,22.5,103.0,108.8,3099000.0,601.7
35,Afghanistan,1997,1.531552,229.83007393,72.83800000000000,20.73,99.0,108.8,3100000.0,613.38
36,Afghanistan,1998,1.7440640000000000,239.40639574,73.208,25.97,86.0,98.8,3111000.0,619.67
37,Afghanistan,1999,2.975168,263.70931176,73.58800000000000,22.1,97.0,102.9,3123000.0,629.68
38,Afghanistan,2000,3.00448,263.00226739,73.955,20.21,89.0,98.7,3129000.0,626.14
39,Afghanistan,2001,3.220656,275.86678107,74.286,15.97,91.0,100.9,3130000.0,626.39
40,Afghanistan,2002,3.748272,302.72911468,74.575,12.5,131.0,157.4,3126000.0,649.88
41,Afghanistan,2003,4.23192,325.28224179,74.82,13.1,91.0,108.7,3118000.0,675.57
42,Afghanistan,2004,4.103680000000000,361.8436802,75.028,9.71,102.0,123.5,3105000.0,697.63
43,Afghanistan,2005,4.198944,380.41578445,75.217,7.12,103.0,113.8,3087000.0,702.31
44,Afghanistan,2006,3.843536,412.87709072,75.418,6.64,84.0,98.4,3063000.0,710.02
45,Afghanistan,2007,3.82888,461.17078502,75.656,4.73,108.0,116.2,3034000.0,702.47
46,Afghanistan,2008,4.272224,511.10426730000000,75.943,3.36,101.0,114.0,3003000.0,730.21
47,Afghanistan,2009,4.253904,540.76887208,76.281,3.78,97.0,107.9,2973000.0,742.45
48,Afghanistan,2010,4.448096,497.92833308,76.652,3.36,119.0,128.5,2948000.0,765.42
49,Afghanistan,2011,5.030672,554.48411738,77.031,3.08,95.0,106.5,2929000.0,834.41
50,Afghanistan,2012,4.667936,544.00617177,77.389,3.37,124.0,139.3,2914000.0,816.01
51,Afghanistan,2013,4.9280800000000000,564.06596489,77.702,2.24,116.0,132.7,2904000.0,837.06
52,Afghanistan,2014,5.620576,614.53594606,77.96300000000000,2.37,114.0,128.6,2896000.0,851.57
53,Afghanistan,2015,4.532368,,78.17400000000000,1.77,101.0,117.2,2891000.0,901.5
54,Afghanistan,2016,4.495728,,78.345,1.64,114.0,123.2,2886000.0,891.58
55,Afghanistan,2017,5.4044,,,,131.0,141.8,2884000.0,919.59
56,Afghanistan,1990,76.73664000000000,,66.725,75.09,111.0,124.2,25759000.0,7801.65
57,Afghanistan,1991,78.805352,,66.983,68.67,94.0,119.0,26400000.0,7982.04
58,Afghanistan,1992,79.881771,,67.226,66.03,105.0,114.3,27028000.0,8141.34
59,Afghanistan,1993,81.94244,,67.482,58.9,104.0,112.6,27636000.0,8264.75
60,Afghanistan,1994,86.146674,,67.774,37.77,73.0,92.3,28214000.0,8318.91
61,Afghanistan,1995,94.981961,252.76942406,68.115,31.27,,,28758000.0,8405.16
62,Afghanistan,1996,96.78612,236.52961023,68.50400000000000,22.5,103.0,108.8,29266000.0,8646.92
63,Afghanistan,1997,87.004346,256.90335228,68.926,20.73,99.0,108.8,29743000.0,8865.95
64,Afghanistan,1998,106.62083,268.85153941,69.367,25.97,86.0,98.8,30193000.0,9001.83
65,Afghanistan,1999,91.667907,265.38824248,69.822,22.1,97.0,102.9,30623000.0,9236.27
66,Afghanistan,2000,87.442683,278.0811557,70.292,20.21,89.0,98.7,31042000.0,9358.75
67,Afghanistan,2001,83.780674,323.07174002,70.778,15.97,91.0,100.9,31452000.0,9600.68
68,Afghanistan,2002,89.40672100000000,332.46065159,71.27600000000000,12.5,131.0,157.4,31855000.0,9775.57
69,Afghanistan,2003,91.048193,346.54772529,71.78,13.1,91.0,108.7,32264000.0,9969.38
70,Afghanistan,2004,87.853102,360.8093318,72.281,9.71,102.0,123.5,32692000.0,10044.75
71,Afghanistan,2005,106.47319,355.14001347,72.767,7.12,103.0,113.8,33150000.0,10061.83
72,Afghanistan,2006,100.201162,380.56748693,73.225,6.64,84.0,98.4,33641000.0,10285.63
73,Afghanistan,2007,108.399973,453.2422424,73.648,4.73,108.0,116.2,34167000.0,10460.06
74,Afghanistan,2008,109.031842,510.13441542,74.032,3.36,101.0,114.0,34731000.0,10574.32
75,Afghanistan,2009,120.185864,654.9774122,74.374,3.78,97.0,107.9,35334000.0,10682.78
76,Afghanistan,2010,117.814083,644.2558833000000,74.676,3.36,119.0,128.5,35977000.0,10794.73
77,Afghanistan,2011,119.806879,686.21865915,74.944,3.08,95.0,106.5,36661000.0,11128.91
78,Afghanistan,2012,128.10995400000000,821.33888535,75.187,3.37,124.0,139.3,37384000.0,11322.62
79,Afghanistan,2013,132.43463,858.86035635,75.418,2.24,116.0,132.7,38140000.0,11713.24
80,Afghanistan,2014,143.220807,932.10028378,75.641,2.37,114.0,128.6,38924000.0,12129.71
81,Afghanistan,2015,150.817609,,75.86,1.77,101.0,117.2,39728000.0,12490.01
82,Afghanistan,2016,148.839049,,76.078,1.64,114.0,123.2,40551000.0,13054.47
83,Afghanistan,2017,153.448361,,,,131.0,141.8,41389000.0,13315.3
84,Afghanistan,1990,5.088696,,41.696000000000000,75.09,111.0,124.2,11848000.0,2032.26
85,Afghanistan,1991,5.062888,,41.855,68.67,94.0,119.0,12249000.0,2118.23
86,Afghanistan,1992,5.165044,,42.06,66.03,105.0,114.3,12657000.0,2192.65
87,Afghanistan,1993,5.7483830000000000,,42.32900000000000,58.9,104.0,112.6,13075000.0,2255.13
88,Afghanistan,1994,3.865596,,42.677,37.77,73.0,92.3,13504000.0,2355.71
89,Afghanistan,1995,10.948303,91.46362060000000,43.125,31.27,,,13945000.0,2401.24
90,Afghanistan,1996,10.424825,60.22757641,43.695,22.5,103.0,108.8,14401000.0,2474.38
91,Afghanistan,1997,7.347849000000000,79.03869714,44.385,20.73,99.0,108.8,14872000.0,2566.9
92,Afghanistan,1998,7.269606,79.53522966,45.192,25.97,86.0,98.8,15360000.0,2717.73
93,Afghanistan,1999,9.129778,82.08157415,46.105,22.1,97.0,102.9,15867000.0,2799.35
94,Afghanistan,2000,9.515061,69.20173589,47.113,20.21,89.0,98.7,16395000.0,2854.73
95,Afghanistan,2001,9.671519,137.88117252,48.2,15.97,91.0,100.9,16946000.0,2932.84
96,Afghanistan,2002,12.597545,103.88967134,49.341,12.5,131.0,157.4,17519000.0,2968.63
97,Afghanistan,2003,8.988368,130.48368471,50.508,13.1,91.0,108.7,18121000.0,3048.48
98,Afghanistan,2004,18.701932,153.300672,51.676,9.71,102.0,123.5,18758000.0,3161.74
99,Afghanistan,2005,19.00643,157.52116297,52.833,7.12,103.0,113.8,19434000.0,3185.45
100,Afghanistan,2006,22.102407,209.61483939,53.974,6.64,84.0,98.4,20150000.0,3266.81
101,Afghanistan,2007,24.976104,189.90186908,55.096,4.73,108.0,116.2,20905000.0,3330.94
102,Afghanistan,2008,25.486004,242.15426374,56.18900000000000,3.36,101.0,114.0,21696000.0,3341.83
103,Afghanistan,2009,27.565503000000000,274.73451017,57.231,3.78,97.0,107.9,22514000.0,3354.78
104,Afghanistan,2010,28.864472,215.70576571,58.192,3.36,119.0,128.5,23356000.0,3391.37
105,Afghanistan,2011,30.329702,220.50028242,59.042,3.08,95.0,106.5,24221000.0,3390.57
106,Afghanistan,2012,33.800564,223.24452883,59.77,3.37,124.0,139.3,25108000.0,3509.8
107,Afghanistan,2013,33.228501,301.98914889,60.373000000000000,2.24,116.0,132.7,26016000.0,3625.01
108,Afghanistan,2014,44.248826,239.01023293,60.858,2.37,114.0,128.6,26942000.0,3509.88
109,Afghanistan,2015,33.979025,,61.24100000000000,1.77,101.0,117.2,27884000.0,3599.86
110,Afghanistan,2016,34.110948,,61.547,1.64,114.0,123.2,28842000.0,3612.63
111,Afghanistan,2017,37.470836,,,,131.0,141.8,29817000.0,3724.05
112,Afghanistan,1990,112.07908800000000,,71.565,75.09,111.0,124.2,32619000.0,10145.24
113,Afghanistan,1991,117.505744,,71.79,68.67,94.0,119.0,33079000.0,10210.19
114,Afghanistan,1992,121.230584,,72.023,66.03,105.0,114.3,33529000.0,10763.03
115,Afghanistan,1993,117.777485,,72.256,58.9,104.0,112.6,33970000.0,10863.78
116,Afghanistan,1994,122.229002,,72.48900000000000,37.77,73.0,92.3,34403000.0,10826.17
117,Afghanistan,1995,127.764859,646.08439673,72.719,31.27,,,34828000.0,11046.45
118,Afghanistan,1996,134.76207,661.95018813,72.947,22.5,103.0,108.8,35246000.0,11742.21
119,Afghanistan,1997,137.64146400000000,751.22496329,73.173,20.73,99.0,108.8,35657000.0,12388.15
120,Afghanistan,1998,139.451896,798.54125101,73.39700000000000,25.97,86.0,98.8,36063000.0,13044.94
