title,type,country,rating,duration,listed_in,description,description_length,description_word_count,descr_polarity,descr_subjectivity
3%,TV Show,Brazil,1.0,4,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",136,26,0.05,0.5625
7:19,Movie,Mexico,1.0,93,"Dramas, International Movies","After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",148,24,-0.42499999999999993,0.6
23:59,Movie,Singapore,1.0,78,"Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",149,24,-0.475,0.575
9,Movie,United States,0.0,80,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",145,23,0.10000000000000003,0.95
21,Movie,United States,0.0,123,Dramas,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,143,22,0.9,1.0
46,TV Show,Turkey,1.0,1,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",149,23,-0.5,0.5
122,Movie,Egypt,1.0,95,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",139,25,-0.5625,0.6875
187,Movie,United States,1.0,119,Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",239,41,0.04323232323232324,0.3537373737373737
706,Movie,India,0.0,118,"Horror Movies, International Movies","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",150,25,0.175,0.2875
1920,Movie,India,1.0,143,"Horror Movies, International Movies, Thrillers",An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,144,26,0.0,0.0
1922,Movie,United States,1.0,103,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",146,26,0.0,0.0
1983,TV Show,"Poland, United States",1.0,1,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",143,22,-0.15,0.4
1994,TV Show,Mexico,1.0,1,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",152,26,0.07878787878787878,0.3515151515151515
"2,215",Movie,Thailand,1.0,89,"Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",132,18,0.06666666666666667,0.19999999999999998
3022,Movie,United States,1.0,91,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",144,22,-0.10000000000000002,0.6333333333333333
